filename,width,height,class,xmin,ymin,xmax,ymax
test_nagoya_game_d_00340.png,800,600,robot,125,211,167,307
test_nagoya_game_a_00601.png,800,600,robot,24,140,93,271
frame0200.png,640,360,robot,464,78,503,154
test_nagoya_game_a_00552.png,800,600,robot,296,90,347,232
test_nagoya_game_b_00148.png,800,600,robot,436,264,474,322
1565609261163340481.jpg,640,480,robot,187,36,284,230
1565609265949817196.jpg,640,480,robot,291,151,394,350
1565609107673007991.jpg,640,480,robot,306,0,397,357
1565608468876213049.jpg,640,480,robot,18,18,206,404
5463.jpg,640,480,robot,297,104,453,435
3720.jpg,640,480,robot,311,100,467,459
7819.jpg,640,480,robot,522,16,638,335
1565609165439900415.jpg,640,480,robot,349,78,434,271
frame0148.png,640,360,robot,479,107,517,182
frame0188.png,640,360,robot,492,83,533,161
1565609186608475516.jpg,640,480,robot,120,52,202,259
test_nagoya_game_a_00543.png,800,600,robot,439,60,465,115
2425.jpg,640,480,robot,324,199,431,476
1565608481907871693.jpg,640,480,robot,4,12,76,454
1368.jpg,640,480,robot,223,126,305,349
1565608488440248418.jpg,640,480,robot,243,42,403,429
1565609302331926563.jpg,640,480,robot,12,80,108,426
1565609136919338192.jpg,640,480,robot,319,0,406,196
8895.jpg,640,480,robot,450,4,601,354
5969.jpg,640,480,robot,318,94,475,480
1425.jpg,640,480,robot,346,18,435,236
1565608536907672344.jpg,640,480,robot,227,36,358,371
1565608685644360970.jpg,640,480,robot,387,4,495,390
test_nagoya_game_d_00287.png,800,600,robot,353,269,395,361
test_nagoya_game_b_00304.png,800,600,robot,285,4,339,136
test_nagoya_game_a_00375.png,800,600,robot,212,216,269,339
5760.jpg,640,480,robot,241,83,433,472
1073.jpg,640,480,robot,154,34,495,445
1565609123004422238.jpg,640,480,robot,141,0,231,230
1565608678077617463.jpg,640,480,robot,94,0,212,365
1565609108132250785.jpg,640,480,robot,312,0,398,349
7220.jpg,640,480,robot,348,85,515,409
sequences_euro_ball_robot_1_a_00019.png,800,600,robot,189,135,241,203
frame0550.png,640,360,robot,273,86,331,190
9055.jpg,640,480,robot,437,33,628,454
9157.jpg,640,480,robot,118,0,265,295
1565609119634136476.jpg,640,480,robot,306,0,402,369
1565608755544155892.jpg,640,480,robot,172,26,307,356
1565608493544060799.jpg,640,480,robot,455,0,575,421
1565608544039816692.jpg,640,480,robot,17,31,171,370
1565609201175916182.jpg,640,480,robot,327,61,421,295
8515.jpg,640,480,robot,218,33,513,384
1565608758277331238.jpg,640,480,robot,92,0,217,384
9531.jpg,640,480,robot,346,5,548,328
1467.jpg,640,480,robot,152,96,285,397
8140.jpg,640,480,robot,279,0,416,368
1565609298115882005.jpg,640,480,robot,166,17,249,331
1565609170440144673.jpg,640,480,robot,540,82,614,259
1565608669377138886.jpg,640,480,robot,4,0,77,359
1970.jpg,640,480,robot,399,54,562,440
test_nagoya_game_b_00330.png,800,600,robot,672,104,712,168
1565609103003270607.jpg,640,480,robot,286,0,380,346
test_nagoya_game_b_00328.png,800,600,robot,355,78,407,202
1565609124964232512.jpg,640,480,robot,151,4,238,231
